transaction_id,timestamp,sender_account,receiver_account,amount_inr,reference,source_id
TXN_001,2026-08-07 09:00,AC-001,AC-002,18500,REF-A01,FIN_001
TXN_002,2026-08-07 11:30,AC-002,AC-003,12000,REF-A02,FIN_001
TXN_003,2026-08-07 15:10,AC-003,AC-001,7500,REF-A03,FIN_001
TXN_004,2026-08-08 10:20,AC-004,AC-005,9100,REF-B01,FIN_002
TXN_005,2026-08-08 13:45,AC-005,AC-006,6600,REF-B02,FIN_002
TXN_006,2026-08-08 16:15,AC-006,AC-004,4300,REF-B03,FIN_002
TXN_007,2026-08-09 09:20,AC-001,AC-004,5200,REF-C01,FIN_003
TXN_008,2026-08-09 10:40,AC-004,AC-002,3900,REF-C02,FIN_003
TXN_009,2026-08-09 14:00,AC-002,AC-007,2500,REF-C03,FIN_003
TXN_010,2026-08-10 09:15,AC-008,AC-009,8400,REF-D01,FIN_004
TXN_011,2026-08-10 12:25,AC-009,AC-010,7100,REF-D02,FIN_004
TXN_012,2026-08-10 17:40,AC-010,AC-008,3100,REF-D03,FIN_004
TXN_013,2026-08-11 10:00,AC-002,AC-003,4700,REF-E01,FIN_005
TXN_014,2026-08-11 11:50,AC-003,AC-004,2800,REF-E02,FIN_005
TXN_015,2026-08-11 16:30,AC-004,AC-001,1900,REF-E03,FIN_005
